package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
alabama,Constrained nonlinear optimization,Augmented Lagrangian Adaptive Barrier Minimization Algorithm for optimizing smooth nonlinear objective functions with constraints. Linear or nonlinear equality and inequality constraints are allowed.,"R (≥ 2.10.1), numDeriv",,,Optimization,2011.9-1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ALDqr,Quantile Regression Using Asymmetric Laplace Distribution,EM algorithm for estimation of parameters and other methods in a quantile regression.,R (≥ 2.15.0),,HyperbolicDist,,0.5,GPL (≥ 3.0),
aLFQ,An R-package for estimating absolute protein quantities from label-free LC-MS/MS proteomics data,"Determination of absolute protein quantities is necessary for multiple applications, such as mechanistic modeling of biological systems. Quantitative liquid chromatography tandem mass spectrometry (LC-MS/MS) proteomics can measure relative protein abundance on a system-wide scale. To estimate absolute quantitative information using these relative abundance measurements requires additional information such as heavy-labeled references of known concentration. Multiple methods have been using different references and strategies; some are easily available whereas others require more effort on the users end. Hence, we believe the field might benefit from making some of these methods available under an automated framework, which also facilitates validation of the chosen strategy. We have implemented the most commonly used absolute label-free protein abundance estimation methods for LC-MS/MS modes quantifying on either MS1-, MS2-levels or spectral counts together with validation algorithms to enable automated data analysis and error estimation. Specifically, we used Monte-carlo cross-validation and bootstrapping for model selection and imputation of proteome-wide absolute protein quantity estimation. Our open-source software is written in the statistical programming language R and validated and demonstrated on a synthetic sample.",R (≥ 2.15.0),"lattice, randomForest, ROCR, reshape2, testthat, protiq","data.table, plyr, caret, seqinr",,1.3.1,GPL (≥ 3),
AlgDesign,Algorithmic Experimental Design,"Algorithmic experimental designs. Calculates exact and approximate theory experimental designs for D,A, and I criteria. Very large designs may be created. Experimental designs may be blocked or blocked designs created from a candidate list, using several criteria.  The blocking can be done when whole and within plot factors interact.",,,,ExperimentalDesign,1.1-7.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
algstat,Algebraic statistics in R,"algstat is a package for algebraic statistics in R.  Current applications include exact inference in log-linear models for contingency table data, analysis of ranked and partially ranked data, and general purpose tools for multivariate polynomials, building on the mpoly package. To aid in the process, algstat has ports to Macaulay2, Bertini, Latte-Integrale and 4ti2.",mpoly,,"stringr, reshape2, Rcpp",,0.0.0,GPL-2,
ALKr,Generate Age-Length Keys for fish populations,A collection of functions that implement several algorithms for generating age-length keys for fish populations from incomplete data.,R (≥ 2.15.2),,"MASS, methods, Rcpp (≥ 0.10.2)",,0.5.3.1,BSD_3_clause + file LICENSE,
allan,Automated Large Linear Analysis Node,Automated fitting of linear regression models and a stepwise routine,biglm,,,,1.01,GPL-2 | GPL-3 [expanded from: GPL],
allanvar,Allan Variance Analysis,A collection of tools for stochastic sensor error characterization using the Allan Variance technique originally developed by D. Allan.,"R (≥ 2.10.0), gplots",,,,1.0,GPL-2,
allelematch,Identifying unique multilocus genotypes where genotyping error and missing data may be present,"This package provides tools for the identification of unique of multilocus genotypes when both genotyping error and missing data may be present. The package is targeted at those working with large datasets and databases containing multiple samples of each individual, a situation that is common in conservation genetics, and particularly in non-invasive wildlife sampling applications. Functions explicitly incorporate missing data, and can tolerate allele mismatches created by genotyping error.",dynamicTreeCut,,,,2.03,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AlleleRetain,"Allele Retention, Inbreeding, and Demography",Simulate the effect of management or demography on allele retention and inbreeding accumulation in bottlenecked populations of animals with overlapping generations.,R (≥ 2.11.0),pedigree,,,1.3.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
allelic,"A fast, unbiased and exact allelic exact test","This is the implementation in R+C of a new association test described in ""A fast, unbiased and exact allelic exact test for case-control association studies"" (Submitted).  It appears that in most cases the classical chi-square test used for testing for allelic association on genotype data is biased. Our test is unbiased, exact but fast throught careful optimization.",,,,,0.1,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
AllPossibleSpellings,Computes all of a word's possible spellings,Contains functions possSpells.fnc and batch.possSpells.fnc.,,,,,1.1,GPL-2,
alm,R wrapper to the almetrics API platform developed by PLoS,"An R interface to the open source article level metrics API created by the Public Library of Science (PLOS). A number of publishers are using the open source app created by PLOS, so you can drop in a different base URL to the functions in this package to get to not only PLOS data, but data for Crossref, and more as the open source PLOS software is used. Obtain rCharts at https://github.com/ramnathv/rCharts.",,"testthat, roxygen2, rplos, knitr, jsonlite","ggplot2, RCurl, plyr, stringr, reshape, reshape2, httr, grid, RJSONIO, lubridate",WebTechnologies,0.1.6,CC0,rCharts
alphahull,Generalization of the convex hull of a sample of points in the plane,This package computes the alpha-shape and alpha-convex hull of a given sample of points in the plane. The concepts of alpha-shape and alpha-convex hull generalize the definition of the convex hull of a finite set of points. The programming is based on the duality between the Voronoi diagram and Delaunay triangulation. The package also includes a function that returns the Delaunay mesh of a given sample of points and its dual Voronoi diagram in one single object.,"tripack, sgeostat, splancs",,,,1.0,file LICENSE,
alphashape3d,Implementation of the 3D alpha-shape for the reconstruction of 3D sets from a point cloud,"The package alphashape3d presents the implementation in R of the alpha-shape of a finite set of points in the three-dimensional space. This geometric structure generalizes the convex hull and allows to recover the shape of non-convex and even non-connected sets in 3D, given a random sample of points taken into it. Besides the computation of the alpha-shape, the package alphashape3d provides users with functions to compute the volume of the alpha-shape, identify the connected components and facilitate the three-dimensional graphical visualization of the estimated set.","geometry, rgl",,,,1.0-4,GPL-2,
alr3,Data to accompany Applied Linear Regression 3rd edition,"This package is a companion to the textbook S. Weisberg (2005), ""Applied Linear Regression,"" 3rd edition, Wiley. It includes all the data sets discussed in the book (except one), and a few functions that are tailored to the methods discussed in the book.  As of version 2.0.0, this package depends on the car package. Many functions formerly in alr3 have been renamed and now reside in car. Data files have beeen lightly modified to make some data columns row labels.","R (≥ 2.1.1), car",,,SocialSciences,2.0.5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
alr4,Data to accompany Applied Linear Regression 4rd edition,"This package is a companion to the textbook S. Weisberg (2014), ""Applied Linear Regression,"" 4rd edition, Wiley. It includes all the data sets discussed in the book and one function to access the textbook's website. This package depends on the car package.  Many data files in this package are included in the alr3 package as well, so only one of them should be loaded.","R (≥ 2.10), car, effects",,,,1.0.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ALS,multivariate curve resolution alternating least squares (MCR-ALS),"Alternating least squares is often used to resolve components contributing to data with a bilinear structure; the basic technique may be extended to alternating constrained least squares.  Commonly applied constraints include unimodality, non-negativity, and normalization of components. Several data matrices may be decomposed simultaneously by assuming that one of the two matrices in the bilinear decomposition is shared between datasets.","nnls (≥ 1.1), Iso, R (≥ 2.10)",,,ChemPhys,0.0.5,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
ALSCPC,Accelerated line search algorithm for simultaneous orthogonal transformation of several positive definite symmetric matrices to nearly diagonal form,Using of the accelerated line search algorithm  for simultaneously diagonalize a set of symmetric positive definite matrices.,,,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
amap,Another Multidimensional Analysis Package,"Tools for Clustering and Principal Component Analysis (With robust methods, and parallelized functions).",R (≥ 2.10.0),Biobase,,"Cluster, Environmetrics, Multivariate",0.8-12,GPL-2 | GPL-3 [expanded from: GPL],
AMAP.Seq,Compare Gene Expressions from 2-Treatment RNA-Seq Experiments,An Approximated Most Average Powerful Test with Optimal FDR Control with Application to RNA-seq Data,,,,,1.0,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
amei,Adaptive Management of Epidemiological Interventions, This package provides a flexible statistical framework for generating optimal epidemiological interventions that are designed to minimize the total expected cost of an emerging epidemic while simultaneously propagating uncertainty regarding underlying disease parameters through to the decision process via Bayesian posterior inference.  The strategies produced through this framework are adaptive: vaccination schedules are iteratively adjusted to reflect the anticipated trajectory of the epidemic given the current population state and updated parameter estimates.,,,,,1.0-7,GPL-2 | GPL-3 [expanded from: GPL],
Amelia,Amelia II: A Program for Missing Data,"Amelia II ""multiply imputes"" missing data in a single cross-section (such as a survey), from a time series (like variables collected for each year in a country), or from a time-series-cross-sectional data set (such as collected by years for each of several countries).  Amelia II implements our bootstrapping-based algorithm that gives essentially the same answers as the standard IP or EMis approaches, is usually considerably faster than existing approaches and can handle many more variables.  Unlike Amelia I and other statistically rigorous imputation software, it virtually never crashes (but please let us know if you find to the contrary!).  The program also generalizes existing approaches by allowing for trends in time series across observations within a cross-sectional unit, as well as priors that allow experts to incorporate beliefs they have about the values of missing cells in their data. Amelia II also includes useful diagnostics of the fit of multiple imputation models.  The program works from the R command line or via a graphical user interface that does not require users to know R.","R (≥ 2.15.3), foreign, utils, Rcpp (≥ 0.10.0.4), RcppArmadillo","tcltk, Zelig",,OfficialStatistics,1.7.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
